,0
0,8.177
1,2.025
2,3.889
3,0.958
4,5.497
5,4.92
6,1.111
7,1.613
8,3.247
9,3.428
10,5.131
11,6.929
12,4.487
13,5.655
14,5.99
15,4.781
16,5.843
17,3.115
18,6.116
19,3.911
20,3.404
21,5.205
22,0.717
23,1.567
24,2.6
25,1.006
26,3.459
27,1.184
28,2.076
29,10.344
30,2.255
31,6.237
32,1.82
33,8.751
34,1201.225
35,4.355
36,0.138
37,4.963
38,2.236
39,4.689
40,2.332
41,1.255
42,8.014
43,4.113
44,2.991
45,6.2
46,7.176
47,5.429
48,3934.618
49,1.946
50,0.29
51,14.204
52,0.19
53,362.608
54,5.042
55,2.841
56,10.239
57,1.09
58,1.306
59,8.281
60,13.168
61,2.436
62,3.388
63,0.229
64,4.84
65,6.782
66,5.213
67,0.018
68,2.925
69,2.907
70,0.02
71,6.573
72,0.341
73,6.117
74,3.554
75,6.794
76,10.518
77,0.076
78,6.25
79,12.595
80,8.308
81,10.945
82,6.46
83,7.098
84,11.485
85,0.064
86,1.643
87,4.641
88,1.848
89,9.592
90,4.81
91,4.508
92,3.411
93,9.304
94,9.67
95,4.464
96,4.465
97,6.501
98,3.795
99,8.516
100,20304.866
101,9.572
102,82.843
103,3.757
104,4.243
105,2.409
106,0.014
107,3.314
108,4.464
109,3.019
110,6.569
111,2.611
112,2.246
113,3.493
114,0.838
115,0.417
116,9.617
117,263.711
118,3.603
119,1.973
120,5.231
121,3.683
122,1.493
123,53.125
124,1.106
125,0.896
126,1.095
127,0.0
128,3.739
129,6.105
130,4.075
131,5.871
132,2.599
133,0.033
134,3.976
135,4.593
136,0.043
137,12.119
138,5.831
139,3.065
140,3.236
141,7.556
142,0.028
143,2.706
144,5.856
145,15.969
146,18.516
147,4.906
148,5.407
149,5.223
150,6.906
151,2.67
152,1.959
153,3.663
154,1.486
155,4.705
156,3.887
157,3.353
158,3.339
159,4.902
160,7.475
161,9.622
162,3.012
163,7.035
164,5.206
165,3.197
166,10.172
167,4.218
168,1.548
169,2.668
170,5.146
171,3.551
172,4.058
173,0.438
174,3.39
175,7.378
176,15.613
177,7.343
178,14.064
179,5.189
180,5.174
181,3.776
182,2.068
183,6.126
184,5.249
185,53.543
186,3.451
187,5.721
188,1.631
189,5.568
190,5.127
191,4.354
192,1.769
193,2.103
194,11.838
195,11.786
196,4.154
197,2.615
198,2.39
199,1.871
200,2.181
201,7.02
202,6.909
203,7.105
204,6.645
205,5.683
206,10.089
207,4.045
208,10.25
209,6.78
210,1.161
211,18.336
212,3.914
213,3.69
214,0.013
215,3.545
216,262.777
217,4.936
218,6.153
219,2.942
220,0.002
221,3.519
222,2.378
223,13.543
224,3.233
225,1.114
226,9.157
227,20.051
228,11.066
229,9.729
230,4.615
231,10.999
232,4.971
233,9.761
234,3.002
235,1.395
236,0.76
237,11.378
238,14.742
239,6.196
240,5.902
241,26.204
242,4.245
243,4.917
244,4.487
245,6.537
246,12.519
247,2.185
248,1.365
249,1.567
250,1248.845
251,6.967
252,7.468
253,65.804
254,3.612
255,6.123
256,22.46
257,4.779
258,0.383
259,14.985
260,3.873
261,8.017
262,15.369
263,2.028
264,8.008
265,12.341
266,287.607
267,8.008
268,11.978
269,0.453
270,7.864
271,1.136
272,7.578
273,2.769
274,8.464
275,13.689
276,1.089
277,19.324
278,32.188
279,4.187
280,6.113
281,32.451
282,11.5
283,0.061
284,6.213
285,1.147
286,5.557
287,5.921
288,2.224
289,1.642
290,1.493
291,1.488
292,5.66
293,8.894
294,7.773
295,3.822
296,4.457
297,3.936
298,4.998
299,1.461
300,4.086
301,4.999
302,1.198
303,2.817
304,4.778
305,7.21
306,10.336
307,10.746
308,4.571
309,3.554
310,3.495
311,23.021
312,5.67
313,3.923
314,8.119
315,2.846
316,6.64
317,6.157
318,23.933
319,6.396
320,5.979
321,9.283
322,156.409
323,8.086
324,2.927
325,17.173
326,1.434
327,0.054
328,4.677
329,0.383
330,2.327
331,2.357
332,2.861
333,1.529
334,1.378
335,0.213
336,6.378
337,1.137
338,8.898
339,1.544
340,5.174
341,4.534
342,4.42
343,2.969
344,13.079
345,7.516
346,1.243
347,40.027
348,2.7
349,7.129
350,5.54
351,7.195
352,7.51
353,74.72
354,486.991
355,2.596
356,9.292
357,1.988
358,1.314
359,1.626
360,3.15
361,9.69
362,4.706
363,7.226
364,2.141
365,0.859
366,2.608
367,3.429
368,4.688
369,6.554
370,8.394
371,5.699
372,6.487
373,5.066
374,7.048
375,11.097
376,21.291
377,4.684
378,5.785
379,6.708
380,48.373
381,4.719
382,2.365
383,4.645
384,2.924
385,1.306
386,4.753
387,9.976
388,7.415
389,6.593
390,6.087
391,21.071
392,6.064
393,9.935
394,9.101
395,6.425
396,5.493
397,6.026
398,7.11
399,3.155
400,8.492
401,6.149
402,7.221
403,3.355
404,2.944
405,4.269
406,4.387
407,4.633
408,6.141
409,3.863
410,1.274
411,2.561
412,2.134
413,1.862
414,4.829
415,1.344
416,5.963
417,7.247
418,3.688
419,9.467
420,113360.063
421,0.937
422,2.634
423,2.593
424,2.131
425,4.464
426,2.007
427,4.991
428,6.907
429,9.01
430,5.156
431,5.05
432,5.401
433,9.215
434,1.498
435,9.169
436,3.422
437,18.859
438,9.578
439,5.194
440,0.203
441,0.084
442,119.298
443,894.935
444,0.083
445,5.364
446,3.001
447,4.764
448,1.684
449,4.123
450,0.087
451,4.971
452,26.153
453,38.092
454,3.106
455,3.242
456,8.038
457,274.807
458,10.649
459,2.335
460,0.34
461,2.935
462,3.758
463,6.521
464,7.825
465,4.746
466,15.96
467,6.893
468,10.221
469,1.429
470,2.788
471,2.529
472,8.899
473,0.045
474,14.408
475,8014.101
476,8.375
477,9.903
478,16.97
479,56.337
480,6.254
481,1.693
482,13.99
483,46.145
484,17.776
485,13.708
486,5.998
487,4.125
488,14.592
489,12.425
490,0.212
491,6.168
492,0.023
493,4.489
494,1.103
495,11.878
496,2.111
497,5.141
498,4.969
499,27.276
500,1.706
501,4.192
502,6.241
503,3.684
504,9.692
505,4.693
506,1.457
507,8.187
508,4.699
509,9.97
510,5.797
511,6.796
512,3.567
513,1.694
514,5.537
515,3.44
516,3.142
517,0.005
518,6.354
519,7.373
520,2.833
521,3.605
522,2.237
523,0.797
524,2.712
525,6.943
526,23.658
527,2.852
528,10.764
529,315.344
530,1.47
531,4.251
532,3.344
533,3.462
534,1.971
535,0.363
536,83.406
537,0.025
538,1.947
539,1.351
540,6.117
541,5.937
542,53.803
543,7.961
544,8.697
545,874.586
546,0.034
547,3.161
548,7.814
549,14.094
550,4.363
551,5.225
552,25.761
553,0.039
554,6.254
555,1.326
556,2.871
557,1.927
558,1.305
559,3.657
560,9.233
561,4.86
562,258.651
563,25.433
564,6.934
565,16.342
566,5.584
567,0.014
568,281.292
569,7.957
570,42928.983
571,2.607
572,4.529
573,11.858
574,6.245
575,6.065
576,3.35
577,2.507
578,3.832
579,19.347
580,7.387
581,5.741
582,3.949
583,4.217
584,5.037
585,0.642
586,5.929
587,4.071
588,3.355
589,3.147
590,117.932
591,4.305
592,5.427
593,2.255
594,1.297
595,5.416
596,4.378
597,1.528
598,3.062
599,3.366
600,7.377
601,6.578
602,6.177
603,1.218
604,0.03
605,5.11
606,5.643
607,1.687
608,4.122
609,6.222
610,1.156
611,6.702
612,4.413
613,6.424
614,2.568
615,6486.211
616,6.422
617,17.632
618,7.462
619,4.184
620,2.484
621,4.071
622,7.475
623,4.461
624,1.572
625,3.576
626,0.004
627,3.5
628,10.191
629,8.12
630,51.133
631,9.693
632,6.941
633,8.684
634,1.677
635,6.299
636,10.569
637,4.839
638,4.656
639,4.057
640,5.638
641,4.922
642,11.442
643,6.907
644,6.198
645,5.223
646,7.117
647,4.854
648,49.125
649,3.61
650,5.887
651,1.585
652,2.544
653,0.64
654,9.87
655,6.204
656,4.016
657,6.011
658,6.011
659,7.177
660,12.058
661,61.365
662,7.789
663,8.638
664,7.587
665,5.829
666,1.152
667,2.24
668,1.503
669,1.956
670,1.105
671,6.155
672,2400.247
673,139.505
674,4.967
675,4.543
676,5.728
677,2.85
678,11.827
679,32.733
680,9.513
681,0.113
682,8.277
683,1.171
684,248.202
685,5.214
686,6.425
687,624.609
688,0.48
689,5.315
690,10.665
691,10.33
692,7.2059954530689e+24
693,10.932
694,7.201
695,9.416
696,5.343
697,4.639
698,4.675
699,5.512
700,1.134
701,53.739
702,11.674
703,5.693
704,3.905
705,125.405
706,26.126
707,0.034
708,0.046
709,6.692
710,0.02
711,5.258
712,6.72
713,4.894
714,4.542
715,2.849
716,7.435
717,4.35
718,4.556
719,8.368
720,2.039
721,161.687
722,8.46
723,8.199
724,7.92
725,10.176
726,18.448
727,2.068
728,12.319
729,7.238
730,13.587
731,7.996
732,4.759
733,4.82
734,0.025
735,10.269
736,14.119
737,7.32
738,8.265
739,2.001
740,10.348
741,2.708
742,8.497
743,9.776
744,5824.247
745,2.345
746,9.753
747,5.615
748,7.007
749,8.638
750,4.65
751,23.071
752,2.258
753,0.981
754,15.951
755,5.745
756,4.96
757,0.073
